Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
482,Rectangle,155.51599139775334,5.268388541210243,10.0,10.0,151.06711260711617,#000000,#FF8000,True
481,Rectangle,165.87590312336602,1.1912810140242982,10.0,10.0,149.74190181226558,#000000,#FF8000,True
16,Triangle,143.23446750970743,-4.112451949369984,10.0,10.0,-46.0,#000000,#FF8000,True
2193,Rectangle,244.09303958018864,46.431564143567016,10.0,10.0,100.79020099751416,#000000,#FF8000,True
2200,Rectangle,246.04638401612618,73.99154435380478,5.0,10.0,-115.0,#000000,#FF8000,True
2201,Rectangle,244.80953072302827,67.33654586215914,5.0,10.0,79.0,#000000,#FF8000,True
2202,Rectangle,242.66085732693693,57.78046223585693,10.0,10.0,8.0,#000000,#FF8000,True
2209,Rectangle,241.32738882836003,93.47844809260641,10.0,10.0,-128.79655209830815,#000000,#FF8000,True
2210,Rectangle,234.61359746200657,83.92651272057674,10.0,10.0,-121.85238011860292,#000000,#FF8000,True
2211,Rectangle,231.35584206076345,72.03270709377125,10.0,10.0,-98.97040780848667,#000000,#FF8000,True
2212,Rectangle,230.7927771310449,60.60327225225717,10.0,10.0,-88.57299836361165,#000000,#FF8000,True
2213,Rectangle,232.36410491259505,48.93343476307837,10.0,10.0,-78.0,#000000,#FF8000,True
2214,Rectangle,234.82974452301107,37.284351362234474,10.0,10.0,-72.63470930213025,#000000,#FF8000,True
2216,Rectangle,237.98131888270535,26.132351358803703,10.0,10.0,-71.22297617627623,#000000,#FF8000,True
2217,Rectangle,241.9286502081689,14.513277105761745,10.0,10.0,-71.98803722057201,#000000,#FF8000,True
2220,Rectangle,240.48025343430766,109.606159522148,10.0,10.0,-130.09547640934528,#000000,#FF8000,True
2221,Rectangle,233.34039241749093,100.76810826134181,10.0,10.0,-129.60119320930664,#000000,#FF8000,True
2224,Rectangle,220.69719623507592,81.21438473221133,10.0,10.0,-116.11793646959877,#000000,#FF8000,True
2268,Rectangle,240.05892556710808,184.70379448405902,10.0,10.0,38.264647771917524,#000000,#FF8000,True
3803,Rectangle,101.8831079745953,12.902575055076568,15.0,15.0,76.23369133178052,#000000,#FF8000,True
3804,Rectangle,106.2587991120102,28.705272176337644,15.0,15.0,71.6062362664091,#000000,#FF8000,True
3805,Rectangle,112.00576641295896,44.047602139567516,15.0,15.0,67.7688064243392,#000000,#FF8000,True
3806,Rectangle,118.65469376665902,59.49572089885055,15.0,15.0,64.92042925723403,#000000,#FF8000,True
3807,Rectangle,126.16369211153355,74.09289392377445,15.0,15.0,60.038771282976555,#000000,#FF8000,True
3808,Rectangle,134.64941440586568,88.12175715411604,15.0,15.0,56.671823712860544,#000000,#FF8000,True
3809,Rectangle,143.79448143235913,101.56567492201123,15.0,15.0,54.91876511146307,#000000,#FF8000,True
3810,Rectangle,153.0834703745374,115.24745853261766,15.0,15.0,54.06900715878766,#000000,#FF8000,True
3811,Rectangle,162.89989209541773,128.30592075462926,15.0,15.0,52.61714346045028,#000000,#FF8000,True
3812,Rectangle,172.23690971800494,141.97164121094158,15.0,15.0,52.93324866850927,#000000,#FF8000,True
3813,Rectangle,182.06573022313188,155.09248334650943,15.0,15.0,51.8144713121583,#000000,#FF8000,True
3814,Rectangle,192.05085283168052,168.20031632625012,15.0,15.0,50.99568132480828,#000000,#FF8000,True
3825,Rectangle,113.21344295148432,-5.781886244723864,15.0,15.0,71.7976497060878,#000000,#FF8000,True
3826,Rectangle,117.88472102129981,10.088711900378371,15.0,15.0,76.23609608201053,#000000,#FF8000,True
3827,Rectangle,122.19716207932899,25.774775359135106,15.0,15.0,71.65517734141623,#000000,#FF8000,True
3828,Rectangle,128.00337831211198,40.88277238372939,15.0,15.0,67.74860880888642,#000000,#FF8000,True
3829,Rectangle,134.65030392753755,55.538363434475286,15.0,15.0,65.10234516064911,#000000,#FF8000,True
3830,Rectangle,142.30431994311414,70.02810700655175,15.0,15.0,59.92581377779651,#000000,#FF8000,True
3831,Rectangle,151.12796509892843,83.72031942514093,15.0,15.0,56.5445374466994,#000000,#FF8000,True
3832,Rectangle,160.37562254690602,96.9627978248111,15.0,15.0,54.92203500558677,#000000,#FF8000,True
3833,Rectangle,169.64240379838594,109.790702838019,15.0,15.0,54.08370912252751,#000000,#FF8000,True
3834,Rectangle,179.47686665831736,122.55504600432369,15.0,15.0,52.59561718106322,#000000,#FF8000,True
3835,Rectangle,188.14454506379536,135.73708039180087,15.0,15.0,52.93776353603869,#000000,#FF8000,True
3836,Rectangle,197.6420658937413,148.67121987453606,15.0,15.0,51.86069782218333,#000000,#FF8000,True
3837,Rectangle,207.46053331578184,161.36367496242963,15.0,15.0,52.54799173481121,#000000,#FF8000,True
3840,Rectangle,97.27680589614846,-3.0489490132181345,15.0,15.0,-20.0,#000000,#FF8000,True
3884,Rectangle,202.42447976051739,180.6604079625546,15.0,15.0,50.385734679914336,#000000,#FF8000,True
3885,Rectangle,213.18306860873815,193.09889722297896,15.0,15.0,46.456024028079504,#000000,#FF8000,True
3886,Rectangle,224.5566052408908,205.4389280742247,15.0,15.0,42.792736907936636,#000000,#FF8000,True
3887,Rectangle,237.67235963624955,215.7854557431217,15.0,15.0,36.8556038217827,#000000,#FF8000,True
3899,Rectangle,218.43086119791462,174.2506799715129,15.0,15.0,44.40688387529519,#000000,#FF8000,True
3929,Rectangle,241.8538393353889,202.87730345465286,10.0,10.0,36.0,#000000,#FF8000,True
3930,Rectangle,232.78367067946175,193.625108425613,10.0,10.0,40.0,#000000,#FF8000,True
3931,Rectangle,229.05763626830276,186.7485928073179,5.0,10.0,45.0,#000000,#FF8000,True
3932,Rectangle,236.63129526720314,178.51136731749614,5.0,10.0,41.0,#000000,#FF8000,True
3933,Rectangle,134.15988816398874,0.8008773607739386,5.0,10.0,71.0,#000000,#FF8000,True
3934,Rectangle,134.25468320331447,8.882563697112118,15.0,15.0,72.4287412216777,#000000,#FF8000,True
3935,Rectangle,139.31098795966784,24.234043017249064,15.0,15.0,70.32938734868199,#000000,#FF8000,True
3936,Rectangle,145.53510358651323,39.36202148783684,15.0,15.0,67.1718192438764,#000000,#FF8000,True
3937,Rectangle,152.7654719425928,53.7435178524903,15.0,15.0,64.04391557616444,#000000,#FF8000,True
3938,Rectangle,161.01706844565325,68.09123758036571,15.0,15.0,59.267118428599595,#000000,#FF8000,True
3939,Rectangle,170.19210313894473,82.67964384558479,15.0,15.0,57.425942865427494,#000000,#FF8000,True
3940,Rectangle,179.72647000633128,95.74409834881646,15.0,15.0,56.278978517273174,#000000,#FF8000,True
3941,Rectangle,189.42238169139296,108.8128272356787,15.0,15.0,54.53909185325859,#000000,#FF8000,True
3942,Rectangle,198.4239378851256,121.74004727972817,15.0,15.0,54.37273084597599,#000000,#FF8000,True
3943,Rectangle,207.86787258851615,135.17130998085645,15.0,15.0,55.66193997660601,#000000,#FF8000,True
3944,Rectangle,217.42715036856845,148.22359690868552,15.0,15.0,51.80557109225577,#000000,#FF8000,True
3945,Rectangle,228.16134774898535,160.88349618759923,15.0,15.0,50.47679280827937,#000000,#FF8000,True
3947,Rectangle,242.49199958133295,175.25077118753666,5.0,5.0,-52.0,#000000,#FF8000,True
3948,Rectangle,155.03489493235037,18.70773570967401,15.0,15.0,67.47060199706321,#000000,#FF8000,True
3949,Rectangle,161.67145258651323,34.64638534241749,15.0,15.0,63.92698672901035,#000000,#FF8000,True
3950,Rectangle,168.80981716008876,49.37225071520959,15.0,15.0,62.18419772344346,#000000,#FF8000,True
3951,Rectangle,177.35868132861634,63.957528971960414,15.0,15.0,56.18883607735864,#000000,#FF8000,True
3952,Rectangle,186.20988081206178,77.41064782026842,15.0,15.0,56.47347849848311,#000000,#FF8000,True
3953,Rectangle,195.5771529440795,90.67918784571668,15.0,15.0,54.28865413476204,#000000,#FF8000,True
3954,Rectangle,204.79139036255248,103.38496064582444,15.0,15.0,53.6357311938236,#000000,#FF8000,True
3955,Rectangle,214.60119315139252,116.31974694683925,15.0,15.0,52.513628180538774,#000000,#FF8000,True
3956,Rectangle,223.45849901548866,129.4670661125516,15.0,15.0,52.58555601267828,#000000,#FF8000,True
3957,Rectangle,233.51291822652712,141.90403297021794,15.0,15.0,50.43668371147142,#000000,#FF8000,True
3959,Rectangle,149.72252501493597,8.490716078248056,5.0,10.0,-21.0,#000000,#FF8000,True
182,Triangle,242.19824404116338,156.50002956292712,10.0,10.0,-40.0,#000000,#FF8000,True
3960,Rectangle,169.5416923060447,10.424365986597877,15.0,15.0,-27.860217741346904,#000000,#FF8000,True
3961,Rectangle,183.68266047384424,0.14327697809949314,15.0,15.0,-30.671727987944813,#000000,#FF8000,True
3965,Rectangle,175.6145857941682,25.049488712164703,15.0,15.0,62.07912378006627,#000000,#FF8000,True
3966,Rectangle,182.1856102957861,39.47567693245924,15.0,15.0,60.195112335423374,#000000,#FF8000,True
3967,Rectangle,190.06968392205158,53.36458720374037,15.0,15.0,56.95976222193065,#000000,#FF8000,True
3968,Rectangle,198.99503655021095,66.98598555596868,15.0,15.0,56.806936528580316,#000000,#FF8000,True
3970,Rectangle,215.13178989821375,51.05671857131347,15.0,15.0,-82.53480914387866,#000000,#FF8000,True
3971,Rectangle,218.50777298607596,34.90282445821231,15.0,15.0,-75.93035008112534,#000000,#FF8000,True
3972,Rectangle,222.62700818117594,19.110704756542646,15.0,15.0,-70.17719180954927,#000000,#FF8000,True
3973,Rectangle,227.74994412064262,3.1625683016836774,15.0,15.0,-72.12599507510112,#000000,#FF8000,True
3974,Rectangle,215.3055871316227,66.66103133151591,5.0,10.0,-35.0,#000000,#FF8000,True
183,Triangle,219.53085094405031,67.64860357164002,10.0,10.0,90.0,#000000,#FF8000,True
3975,Rectangle,219.42720325375683,73.92253176963436,5.0,10.0,63.0,#000000,#FF8000,True
3976,Rectangle,208.33262563092245,82.3116450692404,10.0,10.0,-28.0,#000000,#FF8000,True
3980,Rectangle,226.5944412148932,91.51113282783388,10.0,10.0,-34.0,#000000,#FF8000,True
3981,Rectangle,217.78668325491503,97.40990650745255,10.0,10.0,-34.0,#000000,#FF8000,True
3982,Rectangle,215.19596076428576,89.73342021205849,5.0,10.0,57.0,#000000,#FF8000,True
3983,Rectangle,224.0011069805526,106.38820720609021,10.0,10.0,-38.0,#000000,#FF8000,True
3984,Rectangle,230.65341871380548,114.78937303778605,10.0,10.0,-38.0,#000000,#FF8000,True
3985,Rectangle,237.19141421383125,123.29320359937765,10.0,10.0,-40.0,#000000,#FF8000,True
3986,Rectangle,209.09809572236645,8.423069098384758,15.0,15.0,110.89374404488247,#000000,#FF8000,True
3987,Rectangle,204.4885356067457,23.79409321316666,15.0,15.0,107.94965879250586,#000000,#FF8000,True
3989,Rectangle,223.33876528502736,-0.8259203175454104,5.0,10.0,21.0,#000000,#FF8000,True
184,Triangle,212.61772275357572,-3.1446759033394756,10.0,10.0,-160.0,#000000,#FF8000,True
3991,Rectangle,195.87105537828438,15.589572193864,10.0,10.0,18.0,#000000,#FF8000,True
186,Triangle,199.52323721347716,5.26174345582217,10.0,10.0,-158.0,#000000,#FF8000,True
3992,Rectangle,193.06928096614428,28.1473111850986,5.0,10.0,-25.0,#000000,#FF8000,True
187,Triangle,189.26098711331946,16.736070339463254,10.0,10.0,-28.0,#000000,#FF8000,True
3993,Rectangle,198.5243059322326,26.90830738917748,5.0,5.0,-74.0,#000000,#FF8000,True
3994,Rectangle,199.9631585482577,41.605572416065,10.0,10.0,-28.0,#000000,#FF8000,True
3996,Rectangle,206.79737414522128,49.00608326885276,5.0,10.0,57.0,#000000,#FF8000,True
3997,Rectangle,196.81196290693168,38.00623703139786,5.0,5.0,-28.0,#000000,#FF8000,True
188,Triangle,208.722069732533,56.31707370025697,10.0,10.0,-36.0,#000000,#FF8000,True
189,Triangle,206.20135267706212,40.266720171814654,10.0,10.0,106.0,#000000,#FF8000,True
